sn,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,class
6095,437,639,687,963,1468,1601,1793,1754,1597,1070, sehar
6096,458,696,662,963,1468,1601,1761,1754,1597,1070, sehar
6097,429,666,598,923,1615,1743,2070,1904,1491,955, sehar
6098,423,688,571,985,1809,1993,2156,2130,1456,869, sehar
6099,414,598,597,923,1615,1743,1764,1904,1491,955, sehar
6100,424,742,578,955,1751,1923,2244,2081,1403,847, sehar
6101,414,598,597,923,1615,1743,1764,1904,1491,955, sehar
6102,423,688,571,985,1809,1993,2156,2130,1456,869, sehar
6103,462,662,640,923,1615,1743,1808,1904,1491,955, sehar
6104,446,713,606,985,1809,1993,2142,2130,1456,869, sehar
6105,426,684,586,953,1529,1665,1904,1906,1622,1031, sehar
6106,426,684,586,953,1529,1665,1904,1906,1622,1031, sehar
6107,439,653,588,976,1566,1693,1953,1857,1599,1050, sehar
6108,456,683,639,976,1566,1693,1750,1857,1599,1050, sehar
6109,440,686,664,963,1468,1601,1774,1754,1597,1070, sehar
6110,385,649,556,945,1743,1917,1958,1957,1380,884, sehar
6111,418,658,577,955,1694,1876,2094,2032,1511,908, sehar
6112,398,708,566,955,1751,1923,2146,2081,1403,847, sehar
6113,429,666,598,923,1615,1743,2070,1904,1491,955, sehar
6114,405,687,584,930,1645,1832,2061,2036,1537,927, sehar
6115,426,655,604,976,1566,1693,1750,1857,1599,1050, sehar
6116,427,675,547,930,1645,1832,2090,2036,1537,927, sehar
6117,426,655,604,976,1566,1693,1750,1857,1599,1050, sehar
6118,439,653,588,976,1566,1693,1953,1857,1599,1050, sehar
6119,430,646,563,935,1639,1800,1831,1841,1445,957, sehar
6120,458,696,662,963,1468,1601,1761,1754,1597,1070, sehar
6121,821,1078,1122,1348,2578,3030,3134,3213,1943,1198, sehar
6122,899,1086,1088,1350,2365,2820,2940,2900,1922,1383, sehar
6123,1016,1232,1404,1732,2412,2707,2890,2945,2728,2138, sehar
6124,1078,1252,1478,1719,2433,2731,2918,2902,2867,2217, sehar
6125,1054,1276,1392,1717,2375,2629,2800,2797,2679,2142, sehar
6126,1016,1206,1314,1675,2405,2793,2958,2945,2572,1909, sehar
6127,835,1010,978,1214,2555,3099,3172,3237,1804,1135, sehar
6128,1056,1310,1510,1717,2375,2629,2768,2797,2679,2142, sehar
6129,1066,1320,1570,1806,2411,2700,2932,2870,3039,2422, sehar
6130,922,1086,1104,1310,2540,3069,3220,3122,1815,1168, sehar
